id,image_width,image_height,box_count,box_size_avg,box_dist_avg,box_normalized_count,box_normalized_count (above average),box_normalized_count (below average),box_normalized_size_avg,box_normalized_dist_avg,normalization_warp_ratio,box_normalized_plus_dist_avg,d_box_norm_above_size,d_box_norm_below_size,d_box_normalized_points_far_distance,risk_level,risk_level,risk_level
16,2160,1620,1101,9.89714577,0.714149853,761,160,60,8.586333771,0.714149853,0.224260958,5.054472132,0.556820365,0.526981672,4990.425751,3,3,3
17,4032,3024,77,42.63766234,17.0688,77,0,0,42.63766234,17.0688,0,51.265544,0,0,0,2,2,2
18,2100,1391,31,83.10275862,19.32781609,26,2,1,78.67523077,19.32781609,0.103448276,10.90586271,1.933333333,1.933333333,55.47631702,2,1,1.5
19,1188,1773,2155,13.23452551,0.436235979,1900,168,29,12.41826316,0.436235979,0.093943729,3.130655863,0.16462841,0.162489387,5779.346425,4,5,4.5
20,4640,3480,38,67.60921053,31.5375,32,6,0,60.3390625,31.5375,0.157894737,23.67112225,0,0,0,2,1,1.5
21,3216,2148,792,49.53858757,3.524922481,62,73,219,40.90887097,3.524922481,0.824858757,6.473199912,20.64581152,14.96299976,1586.341959,3,3,3
22,2048,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1920,1080,1179,11.84623529,0.5485,860,106,71,11.19213488,0.5485,0.170684667,3.217152411,0.885902527,0.833304413,2017.204763,3,3,3
24,1620,1080,155,40.18248175,4.029705198,108,20,9,34.96180556,4.029705198,0.211678832,7.60947484,1.858561644,1.762635882,959.2163832,2,2,2
25,3024,2016,161,43.6838843,6.444049587,82,19,20,36.61585366,6.444049587,0.32231405,5.917900462,4.681914894,4.129390776,546.2193898,3,2,2.5
26,5472,3648,324,68.97102273,8.718625,74,28,74,40.27162162,8.718625,0.579545455,9.808334612,13.986,10.83483333,1435.795295,2,2,2
27,1710,1137,343,53.54788136,2.474380158,229,42,24,47.55152838,2.474380158,0.223728814,4.924279894,3.906112853,3.644186918,1260.192369,4,5,4.5
28,4640,2610,201,58.45590062,9.49628882,117,24,20,49.52863248,9.49628882,0.273291925,19.58521579,6.742541436,6.105186773,2351.561944,3,2,2.5
29,7360,4912,210,87.36166667,8.016454248,196,14,0,80.2872449,8.016454248,0.066666667,5.884329585,0,0,0,3,3,3
30,5760,3840,258,68.79804348,5.875675676,193,23,14,53.05259067,5.875675676,0.160869565,7.041347734,2.330942623,2.213492026,1192.504284,3,3,3
31,1378,838,49,24.19795918,6.848289878,47,2,0,23.56170213,6.848289878,0.040816327,12.49491013,0,0,0,2,1,1.5
32,4288,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1619,1080,6,155.025,50.85243162,6,0,0,155.025,50.85243162,0,36.42212855,0,0,0,1,1,1
34,3000,2037,204,53.21034483,5.130617816,143,16,15,40.61713287,5.130617816,0.17816092,5.155913504,3.328571429,3.100140056,870.1383012,3,3,3
35,2560,1712,536,24.45205993,1.468846399,485,48,1,22.65123711,1.468846399,0.0917603,9.289071334,0.03364486,0.03364486,3121.314469,3,4,3.5
36,3264,2448,129,12.93781513,11.10857143,109,5,5,12.29357798,11.10857143,0.084033613,95.70652835,0.459677419,0.445423856,6646.824738,2,1,1.5
37,5184,3456,302,74.66087329,5.479714286,281,6,5,74.31201068,5.479714286,0.037671233,4.541402993,1.159427609,1.144070952,1481.668024,3,3,3
38,6000,3342,8,277.386,181.373125,7,1,0,253.992,181.373125,0.125,13.68872633,0,0,0,1,1,1
39,3588,960,711,21.22806799,1.538681094,469,80,54,17.67579957,1.538681094,0.222222222,9.401664766,1.40585997,1.301063094,4365.369337,3,3,3
40,2592,1936,371,13.76602797,4.469952719,3,26,114,12.32866667,4.469952719,0.979020979,10.72562093,19.7614786,13.74248377,2739.383926,2,1,1.5
41,2332,1749,825,18.91891702,1.225620915,586,68,57,16.87576792,1.225620915,0.17580872,6.780538464,1.299414063,1.211211411,2174.985124,3,3,3
42,3264,2448,50,97.47304348,25.67965909,38,6,2,78.17863158,25.67965909,0.173913043,32.94611866,2.615625,2.5633125,601.4070902,2,2,2
43,5472,3648,152,117.3602273,12.05761377,100,22,10,95.2735,12.05761377,0.242424242,15.32713811,7.624647887,7.173188473,1259.321965,3,3,3
44,4032,3024,37,123.2228571,45.49925619,31,3,1,117.783871,45.49925619,0.114285714,24.62660343,4.2375,4.2375,398.5736408,2,1,1.5
45,6000,2687,472,68.32380383,4.612129535,325,66,27,58.90092308,4.612129535,0.222488038,8.707777315,2.992696629,2.827844696,2656.184841,3,3,3
46,2160,1620,14,129.6964286,41.34440844,14,0,0,129.6964286,41.34440844,0,24.89856102,0,0,0,2,1,1.5
47,2304,1296,27,67.93518519,20.941138,27,0,0,67.93518519,20.941138,0,14.80228607,0,0,0,2,1,1.5
48,1100,776,73,81.46359649,7.809363558,41,8,8,74.17195122,7.809363558,0.280701754,7.489687137,8.277692308,7.483940991,366.3048141,4,5,4.5
49,1875,2500,979,16.86648865,1.131827057,550,84,115,15.99263636,1.131827057,0.265687583,7.620227674,2.107002315,1.861651688,4280.338967,3,3,3
50,4032,3016,485,45.97841823,3.714107629,252,65,56,42.43015873,3.714107629,0.324396783,10.9282505,4.685198135,4.153887006,3707.135721,3,3,3
51,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3350,2680,272,61.64896552,5.608003876,99,26,49,52.0010101,5.608003876,0.431034483,9.953337955,11.77578475,9.697705091,799.4375619,3,2,2.5
53,4000,3000,120,30.9655,7.925291667,72,18,10,26.68680556,7.925291667,0.28,22.62182958,3.145454545,2.909545455,2069.119483,2,2,2
54,1843,1382,616,14.27298077,1.069315876,413,59,48,13.1783293,1.069315876,0.205769231,7.469560052,0.963204225,0.889712994,3324.570204,3,3,3
55,1920,1080,252,10.125625,5.187022901,82,32,46,8.318902439,5.187022901,0.4875,54.39172527,1.294417476,1.063271498,6333.161453,2,2,2
56,3872,2592,128,56.28101852,10.17817146,79,19,10,46.05189873,10.17817146,0.268518519,11.1820593,4.262288136,3.962596001,1055.815036,2,2,2
57,2592,1936,203,39.11204188,4.433001745,157,28,6,35.29028662,4.433001745,0.178010471,14.97239688,1.086040609,1.05929084,3601.243444,3,4,3.5
58,3968,1984,122,14.59194915,6.174189712,105,11,2,12.85428571,6.174189712,0.110169492,69.73497227,0.28125,0.278944672,7369.818189,2,1,1.5
59,3872,2592,1600,30.45445338,1.611011097,344,143,371,26.58677326,1.611011097,0.599067599,5.399277492,7.495850285,5.762434906,3984.829162,4,5,4.5
60,5456,3632,400,21.82695313,3.987720459,343,33,8,20.24825073,3.987720459,0.106770833,12.7416748,0.318877551,0.313297194,6764.613639,3,3,3
61,2368,1604,21,141.5357143,27.30725824,21,0,0,141.5357143,27.30725824,0,13.82619013,0,0,0,2,1,1.5
62,3840,2160,87,40.5816092,9.837352941,74,13,0,34.79256757,9.837352941,0.149425287,13.67382051,0,0,0,2,2,2
63,3840,2160,333,34.97598784,5.896730769,323,4,2,34.78250774,5.896730769,0.018237082,14.36247844,0.211480363,0.210845286,4727.24123,3,2,2.5
64,1620,1080,97,39.44052632,5.114742321,88,6,1,37.57215909,5.114742321,0.073684211,10.7807718,0.53125,0.53125,562.3279081,2,3,2.5
65,2400,1481,341,20.14252199,2.294556244,331,10,0,19.71918429,2.294556244,0.029325513,9.657969419,0,0,0,3,3,3
66,1600,1200,13,80.48076923,44.14046009,12,1,0,76.1625,44.14046009,0.076923077,17.12387633,0,0,0,2,1,1.5
67,2307,972,9,238.2629274,80.3241686,9,0,0,238.2629274,80.3241686,0,17.75489852,0,0,0,1,1,1
68,3968,1984,955,9.192103882,1.608491148,916,36,1,8.956905022,1.608491148,0.038824764,17.27481208,0.008385744,0.008385744,18604.89734,2,1,1.5
69,4000,3000,80,113.0270833,22.09635417,25,7,16,100.018,22.09635417,0.479166667,20.03009684,19.51171875,15.85327148,1209.576519,2,1,1.5
70,1101,1101,468,17.07936747,1.313388889,222,42,68,14.27162162,1.313388889,0.331325301,9.041059933,2.194625,1.880437233,3014.325619,3,4,3.5
71,3000,2001,202,43.08663366,5.647916667,183,19,0,36.39153005,5.647916667,0.094059406,11.03084768,0,0,0,3,3,3
72,1843,1382,175,28.59312865,2.7168,151,18,2,24.06490066,2.7168,0.116959064,13.29170105,0.249710983,0.248284063,3050.425119,3,3,3
73,3888,2592,195,64.51307692,7.327384615,189,6,0,63.06111111,7.327384615,0.030769231,6.080493298,0,0,0,2,3,2.5
74,1920,1280,340,32.59298246,2.400604421,148,24,56,26.86351351,2.400604421,0.350877193,6.530094668,5.500176056,4.610441694,1781.13819,3,2,2.5
75,5184,3456,40,271.9666667,43.48,32,2,2,269.4703125,43.48,0.111111111,10.2946498,7.034210526,6.858355263,372.3642841,2,2,2
76,5472,3648,173,92.46055901,9.450434783,140,15,6,83.84535714,9.450434783,0.130434783,8.104432869,3.299401198,3.204042781,542.2151081,3,2,2.5
77,3840,2019,292,48.74224138,6.132743363,165,37,30,42.56,6.132743363,0.288793103,13.0646574,6.883969466,6.200287567,1750.513806,2,2,2
78,2304,1535,557,13.54948875,1.431252599,401,54,34,11.74613466,1.431252599,0.1799591,8.931794037,0.478011472,0.449691223,1993.503959,3,4,3.5
79,1800,1200,217,21.02069767,2.642374463,197,17,1,19.69340102,2.642374463,0.08372093,9.85921972,0.064814815,0.064814815,2783.030896,2,2,2
80,3839,2107,1063,16.9055665,1.697928352,893,98,24,16.11886898,1.697928352,0.120197044,8.040340394,0.355149182,0.347464863,13363.47034,2,2,2
81,4608,3456,119,61.20337662,19.1232,41,15,21,51.1804878,19.1232,0.467532468,30.39402335,14.74387755,12.26591494,733.5453092,2,1,1.5
82,2500,1875,613,18.26434494,1.758380829,593,5,5,18.21011804,1.758380829,0.016583748,8.42631505,0.143092105,0.142158388,6652.728925,3,2,2.5
83,5760,3840,144,82.65133803,15.67042254,124,17,1,64.06451613,15.67042254,0.126760563,11.45607459,0.519230769,0.519230769,1989.42321,2,2,2
84,3200,2133,59,31.79272727,12.42377273,45,8,2,28.37777778,12.42377273,0.181818182,29.33611121,0.912280702,0.896818317,2075.51721,2,1,1.5
85,6635,4142,25,145.406,72.88613333,25,0,0,145.406,72.88613333,0,16.50012324,0,0,0,1,1,1
86,827,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1500,948,452,11.67867647,0.988261905,400,37,5,11.1230625,0.988261905,0.095022624,8.899480412,0.196308725,0.194571479,3519.674179,4,5,4.5
88,2160,1620,236,23.71153846,4.335131579,74,42,40,19.96351351,4.335131579,0.525641026,7.452893073,6.391836735,5.33555863,1195.313083,3,2,2.5
89,4000,3000,99,134.3066038,21.12745098,18,12,23,100.3722222,21.12745098,0.660377358,21.20528465,18.38486842,14.29934211,1036.928992,3,3,3
90,4032,3024,228,40.68926415,5.76135,186,18,8,38.74203226,5.76135,0.122641509,12.88129806,2.036363636,1.9738437,1893.506449,3,3,3
91,1920,1080,204,12.21849315,4.096428571,99,18,29,11.75909091,4.096428571,0.321917808,28.22721352,1.68,1.449411765,4487.234189,2,2,2
92,4896,3324,265,77.92152466,9.466294163,166,36,21,62.49518072,9.466294163,0.255605381,8.656735666,7.342008197,6.787894371,1414.20354,3,2,2.5
93,3000,2000,74,46.07844828,14.92456897,41,9,8,39.20365854,14.92456897,0.293103448,31.73383052,4.940151515,4.472839885,2243.661876,2,1,1.5
94,4160,3120,107,29.58188406,12.10503731,36,14,19,30.02222222,12.10503731,0.47826087,44.02957533,5.784090909,4.81106627,2425.790618,2,1,1.5
95,2000,1334,420,19.57086508,2.440846667,133,35,84,14.52406015,2.440846667,0.472222222,19.38628698,6.703422619,5.378698625,2599.322271,3,3,3
96,3840,2160,39,214.0589744,34.26081081,39,0,0,214.0589744,34.26081081,0,6.031527377,0,0,0,1,3,2
97,3968,2976,137,50.42995604,11.78,55,13,23,46.37,11.78,0.395604396,20.18989419,8.484210526,7.121782559,2142.667242,2,1,1.5
98,4032,3024,73,19.06578947,22.58605263,35,14,8,17.90714286,22.58605263,0.385964912,102.1719948,2.246153846,2.030769231,4958.88339,2,1,1.5
99,3393,2039,106,62.83667391,11.56875906,78,7,7,51.40128205,11.56875906,0.152173913,8.62626532,4.561616162,4.303411473,1208.744558,3,3,3
100,1920,1080,154,13.55289855,4.423076923,117,13,8,12.77777778,4.423076923,0.152173913,26.45862214,0.753424658,0.719178082,4935.018395,2,2,2
101,3264,2448,47,29.99787234,17.02531915,47,0,0,29.99787234,17.02531915,0,96.22772892,0,0,0,2,2,2
102,4032,3024,1979,23.08143197,0.969728972,1611,233,45,19.861018,0.969728972,0.147167814,3.777534227,0.530842813,0.519040345,4824.825601,4,5,4.5
103,1000,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,4928,3264,7,756.9642857,185.8918392,7,0,0,756.9642857,185.8918392,0,17.06806027,0,0,0,1,1,1
105,1843,1060,32,105.7421875,27.23896341,29,3,0,98.10689655,27.23896341,0.09375,27.88185299,0,0,0,2,2,2
106,1620,1080,252,43.90474684,3.392763158,79,32,47,41.16455696,3.392763158,0.5,7.077245733,10.97780488,8.973919861,488.1908572,3,4,3.5
107,3840,2160,651,19.80050916,1.858637787,373,38,80,17.12184987,1.858637787,0.240325866,6.45944565,1.843922942,1.620159636,2811.068566,3,3,3
108,1000,750,83,23.69810127,3.106871795,66,11,2,20.26893939,3.106871795,0.164556962,11.00889067,0.372222222,0.367737617,665.1486519,2,1,1.5
109,1200,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1920,1080,29,42.39482759,21.59482759,29,0,0,42.39482759,21.59482759,0,29.27078165,0,0,0,2,1,1.5
111,1620,1080,1612,14.33008637,0.48024302,596,161,285,11.23481544,0.48024302,0.428023033,5.487991902,2.785455916,2.294718025,2191.05193,4,4,4
112,1350,1800,117,65.61769231,9.707884615,26,13,26,57.34038462,9.707884615,0.6,16.07468558,27.44505495,21.58072697,758.6660378,3,4,3.5
113,1920,1080,209,12.34676617,3.415789474,189,8,4,11.1531746,3.415789474,0.059701493,13.47733686,0.202195122,0.1992928,3760.837025,2,2,2
114,3500,2333,329,107.3556502,4.573404311,318,2,3,107.5507075,4.573404311,0.015479876,4.105415837,0.763803681,0.759160498,1727.47942,4,5,4.5
115,5184,3091,839,14.1966325,2.796789759,495,110,78,12.20454545,2.796789759,0.275256223,19.38303271,1.078843627,0.979831756,11688.47614,2,2,2
116,2048,1366,132,36.08,8.418353042,37,5,30,50.25,8.418353042,0.486111111,13.27804236,13.04313725,10.17759952,769.4061662,2,2,2
117,4000,3000,64,56.64868421,23.9400463,14,11,13,50.36785714,23.9400463,0.631578947,27.96471537,18.71470588,15.20569853,906.2295673,2,2,2
118,6000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,3264,2448,37,31.62702703,15.41027027,37,0,0,31.62702703,15.41027027,0,61.70991284,0,0,0,2,2,2
120,1620,1080,739,16.55311231,0.691262136,739,0,0,16.55311231,0.691262136,0,3.05864142,0,0,0,3,4,3.5
121,2277,1519,249,19.78212851,2.04903012,232,17,0,18.82844828,2.04903012,0.068273092,9.170225057,0,0,0,2,3,2.5
122,2500,1846,6,441.6583333,55.29448064,6,0,0,441.6583333,55.29448064,0,9.60127488,0,0,0,1,1,1
123,3264,2448,541,43.34279176,2.069636804,327,58,52,34.08455657,2.069636804,0.251716247,4.596062277,3.605521472,3.26562943,2042.896718,3,2,2.5
124,5761,2885,78,135.825641,22.03367971,78,0,0,135.825641,22.03367971,0,11.59913194,0,0,0,2,2,2
125,5000,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5184,3456,25,309.71112,78.9408,23,2,0,293.3673913,78.9408,0.08,6.431630972,0,0,0,2,1,1.5
127,4000,3000,100,85.809375,22.42953125,17,5,26,64.02941176,22.42953125,0.645833333,42.12646058,13.82837838,10.37128378,2002.958703,2,1,1.5
128,6720,4381,587,88.48684123,5.300363248,193,52,114,76.65751295,5.300363248,0.462395543,10.1765907,23.20271882,18.73609662,1599.535577,3,4,3.5
129,1620,1080,141,24.18865248,3.251978417,138,3,0,23.8634058,3.251978417,0.021276596,13.86815413,0,0,0,2,2,2
130,2500,1572,993,34.29136009,1.082519641,698,151,48,29.39219198,1.082519641,0.221850613,3.26314696,2.915714286,2.777709682,3204.378826,4,4,4
131,4256,2832,71,170.8488571,33.86265669,9,8,18,159.7824444,33.86265669,0.742857143,11.27489929,86.01932075,65.42314536,468.2346957,2,1,1.5
132,5512,3350,1269,57.88511743,2.143908527,850,176,81,48.54714706,2.143908527,0.232158988,3.333373656,3.224789562,3.021493136,2651.920827,4,5,4.5
133,4032,2240,118,43.60580357,9.575,95,14,3,39.53315789,9.575,0.151785714,15.68656835,1.32173913,1.299336772,984.1902515,3,2,2.5
134,5760,3840,175,130.1114286,10.71638894,163,12,0,123.9785276,10.71638894,0.068571429,9.228778789,0,0,0,2,2,2
135,1600,1066,145,65.52216495,6.706546392,53,20,24,61.66226415,6.706546392,0.453608247,11.57934394,13.96033058,11.74593331,832.5352552,3,4,3.5
136,3165,2110,1200,20.65799551,1.03159481,616,119,155,16.21103896,1.03159481,0.307865169,8.068492614,2.348851675,2.04741571,5229.041119,3,2,2.5
137,3000,2000,8,199.96875,95.71759987,8,0,0,199.96875,95.71759987,0,29.20971124,0,0,0,1,1,1
138,1620,1080,97,32.42352941,4.772523937,73,6,6,30.83287671,4.772523937,0.141176471,19.13003386,1.952197802,1.85156905,902.0112697,2,2,2
139,5511,3674,1307,63.30678988,1.86644801,1269,5,11,63.47941292,1.86644801,0.012451362,2.822203948,0.409722222,0.406587393,4266.200871,5,5,5
140,2048,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,4000,3000,131,21.37068966,14.1357549,56,9,22,17.88839286,14.1357549,0.356321839,98.43724945,5.413761468,4.545906576,6733.879594,2,1,1.5
142,4000,3000,438,65.70859375,3.826041667,218,43,59,55.99770642,3.826041667,0.31875,5.931185042,10.9091029,9.4645185,1600.767913,3,3,3
143,1000,750,421,12.91864407,0.655837629,394,15,4,12.70545685,0.655837629,0.046004843,6.105362621,0.112470024,0.111668575,1067.151435,3,2,2.5
144,3500,2333,34,268.8014706,20.95631364,34,0,0,268.8014706,20.95631364,0,6.535124895,0,0,0,2,2,2
145,3840,2160,369,43.63736842,4.233096085,218,25,42,45.69793578,4.233096085,0.235087719,11.65657016,6.175076453,5.488956847,2624.158189,3,3,3
146,2049,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,5610,3137,378,47.75372024,5.14375502,255,60,21,39.17372549,5.14375502,0.241071429,8.810500026,2.828011204,2.678380982,2333.311244,3,2,2.5
148,3648,5472,327,108.4306694,7.156090909,171,33,41,91.34093567,7.156090909,0.302040816,10.56301117,8.866258741,7.781701097,1755.301701,4,5,4.5
149,4836,3256,386,88.45334615,5.682153226,221,54,37,66.69419005,5.682153226,0.291666667,9.578643723,9.264143266,8.400129905,2708.87774,3,3,3
150,3861,2574,761,48.62673031,2.765512976,170,78,171,42.13058824,2.765512976,0.594272076,3.612195611,41.80194915,32.4638002,1474.433873,4,3,3.5
151,1600,1066,179,91.825,3.208659402,64,22,31,86.578125,3.208659402,0.452991453,4.755453022,19.94966216,16.60614336,488.9413462,4,4,4
152,1000,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2160,1620,150,45.63571429,4.786782873,128,7,5,44.80117188,4.786782873,0.085714286,6.970657396,1.714137931,1.668427586,1005.845097,4,4,4
154,4640,3480,289,23.61433962,9.380688679,221,32,12,21.7479638,9.380688679,0.166037736,26.9112496,0.774909747,0.745414913,4941.357593,2,2,2
155,7360,4912,220,158.7129121,11.84499074,143,20,19,141.3748252,11.84499074,0.214285714,7.077849233,14.77462687,13.56579376,1340.267535,3,5,4
156,2144,1424,373,25.91060071,1.709969916,198,40,45,23.22525253,1.709969916,0.300353357,6.243072213,3.207317073,2.82897404,906.682588,3,2,2.5
157,1880,1160,315,20.14420814,2.841897081,137,37,47,13.91591241,2.841897081,0.380090498,18.91698294,2.065298507,1.76369936,2457.960974,2,2,2
158,3968,2976,269,87.16951673,6.454176245,268,1,0,87.0011194,6.454176245,0.003717472,5.200355399,0,0,0,3,3,3
159,1614,1076,118,63.03092105,5.850302554,112,0,2,63.6890625,5.850302554,0.01754386,9.230587813,0.768103448,0.761594097,0,3,4,3.5
160,800,600,79,21.8943662,4.216612443,59,8,4,19.55084746,4.216612443,0.169014085,13.24381056,0.774,0.744607595,679.0145363,3,3,3
161,2861,2288,510,47.14679861,3.254635781,137,40,111,39.72664234,3.254635781,0.524305556,10.65705597,11.81566416,9.267187577,1301.67719,3,5,4
162,4000,3000,333,40.74039409,6.884892055,83,55,65,37.69759036,6.884892055,0.591133005,16.62767505,7.797761194,6.299092376,3473.321632,3,3,3
163,4187,3140,272,88.30986842,8.074622222,66,26,60,74.49924242,8.074622222,0.565789474,10.6193502,31.13278302,24.37971611,1411.152762,3,3,3
164,4032,3024,13245,10.84284463,0.212987033,8524,1121,1200,10.30091506,0.212987033,0.214015675,1.327019313,1.022665006,0.930088536,14941.51595,3,3,3
165,5472,3648,143,75.34761905,17.252,74,12,19,75.80743243,17.252,0.295238095,8.702717471,5.791935484,5.062880668,1279.985986,2,3,2.5
166,3968,2976,108,62.8490566,11.7676,94,11,1,54.05159574,11.7676,0.113207547,16.5511692,1.059813084,1.059813084,1218.496658,2,3,2.5
167,1152,1152,242,33.21197479,1.679060356,211,25,2,30.56327014,1.679060356,0.113445378,4.286654939,0.30375,0.302494835,992.4646181,3,4,3.5
168,2048,1027,72,42.275,7.82726817,72,0,0,42.275,7.82726817,0,5.969153546,0,0,0,2,3,2.5
169,2364,2848,602,27.75797342,1.866033391,579,23,0,26.54827288,1.866033391,0.03820598,5.882194967,0,0,0,3,3,3
170,1776,1184,644,10.08020186,1.072936097,644,0,0,10.08020186,1.072936097,0,8.717052975,0,0,0,3,3,3
171,1600,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1091,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,3840,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,4640,3480,62,104.8065909,29.27965909,26,9,9,95.29038462,29.27965909,0.409090909,18.58311258,13.48924528,11.7486975,541.8700038,2,2,2
175,2386,3579,64,157.5698,17.81895833,19,9,12,154.992,17.81895833,0.525,13.61104369,27.74607692,22.97721995,581.6295258,3,4,3.5
176,4288,2848,155,121.9081176,13.92686275,35,15,35,110.9014286,13.92686275,0.588235294,11.63778572,26.79,20.91348387,878.6913125,3,3,3
177,1620,1080,514,17.99947917,1.148491379,380,83,17,14.23236842,1.148491379,0.208333333,9.016489894,0.514084507,0.498081876,2787.145111,3,4,3.5
178,3790,2526,10271,18.40996531,0.187788154,6955,448,956,19.18609633,0.187788154,0.167962675,1.02488098,1.40466452,1.274058482,6356.8763,4,5,4.5
179,1944,1458,39,82.27702703,17.5647654,36,0,1,83.4375,17.5647654,0.027027027,9.672333956,1.101315789,1.101315789,0,2,2,2
180,3240,2430,845,31.4857485,1.496027254,780,50,5,30.28160256,1.496027254,0.065868263,5.523735872,0.14047619,0.139811214,2098.528105,4,4,4
181,5472,2832,1927,37.50157833,1.351242751,714,247,322,31.03242297,1.351242751,0.443491816,4.759734531,5.721869159,4.768719185,4751.265815,4,5,4.5
182,1999,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,5568,3712,1580,53.46710621,1.611855273,1089,197,98,48.60123967,1.611855273,0.213150289,3.379334174,6.61305668,6.207065226,4701.631393,4,5,4.5
184,2259,1108,66,136.33112,14.93103158,33,9,8,123.6454545,14.93103158,0.34,7.423540129,19.8362069,17.73236677,449.5195968,3,3,3
185,2048,1536,139,36.97462963,6.025365854,129,4,2,36.54127907,6.025365854,0.044444444,14.04057969,0.905109489,0.89859791,1582.791886,2,2,2
186,2100,1500,24,84.245,32.07886314,15,3,2,67.41666667,32.07886314,0.25,16.0081567,4.295454545,4.116477273,97.10708813,1,2,1.5
187,5184,3456,367,107.4822262,8.75826087,93,55,73,96.87688172,8.75826087,0.57918552,10.15177969,39.01003401,31.35683933,1739.019194,2,3,2.5
188,3872,2592,13,487.8384615,78.22148973,12,1,0,453.6791667,78.22148973,0.076923077,14.45216701,0,0,0,1,1,1
189,2500,1666,678,30.2538913,1.765316485,148,65,155,24.15337838,1.765316485,0.597826087,4.747341437,13.60752964,10.51673382,2146.600064,2,3,2.5
190,3000,2000,1402,23.66645885,1.207310141,330,172,300,21.47909091,1.207310141,0.588528678,5.827661898,6.832622505,5.375451229,3500.22972,3,4,3.5
191,3430,4287,361,17.86319218,2.453095732,206,74,27,10.93300971,2.453095732,0.328990228,23.39078533,0.994011976,0.922421086,6691.385138,2,1,1.5
192,3000,1930,545,29.71366972,1.771242991,544,1,0,29.68391544,1.771242991,0.001834862,7.291626703,0,0,0,3,4,3.5
193,5847,3893,655,58.0848855,2.912878174,545,110,0,48.72247706,2.912878174,0.167938931,6.535534185,0,0,0,3,3,3
194,2048,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4243,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
196,3000,2000,32,70.203125,24.77864583,31,1,0,68.59677419,24.77864583,0.03125,16.68342669,0,0,0,2,2,2
